"month","day","year","town","county","cases"
"05","22","2020","Brooklawn","Camden","20"
"05","22","2020","Camden","Camden","1668"
"05","22","2020","Cherry Hill","Camden","783"
"05","22","2020","Chesilhurst","Camden","23"
"05","22","2020","Clementon","Camden","52"
"05","22","2020","Collingswood","Camden","62"
"05","22","2020","Gibbsboro","Camden","6"
"05","22","2020","Gloucester City","Camden","79"
"05","22","2020","Gloucester Township","Camden","475"
"05","22","2020","Haddon Heights","Camden","22"
"05","22","2020","Haddon Township","Camden","74"
"05","22","2020","Haddonfield","Camden","40"
"05","22","2020","Hi-Nella","Camden","3"
"05","22","2020","Laurel Springs","Camden","15"
"05","22","2020","Lawnside","Camden","30"
"05","22","2020","Lindenwold","Camden","325"
"05","22","2020","Magnolia","Camden","18"
"05","22","2020","Merchantville","Camden","36"
"05","22","2020","Mount Ephraim","Camden","18"
"05","22","2020","Oaklyn","Camden","23"
"05","22","2020","Pennsauken","Camden","514"
"05","22","2020","Pine Hill","Camden","87"
"05","22","2020","Runnemede","Camden","61"
"05","22","2020","Somerdale","Camden","44"
"05","22","2020","Stratford","Camden","43"
"05","22","2020","Unknown","Camden","7"
"05","22","2020","Voorhees","Camden","416"
"05","22","2020","Waterford","Camden","46"
"05","22","2020","Winslow","Camden","417"
"05","22","2020","Woodlynne","Camden","66"
"05","22","2020","Avalon","Cape May","7"
"05","22","2020","Cape May","Cape May","6"
"05","22","2020","Cape May Point","Cape May","0"
"05","22","2020","Dennis","Cape May","51"
"05","22","2020","Lower Township","Cape May","181"
"05","22","2020","Middle Township","Cape May","95"
"05","22","2020","North Wildwood","Cape May","12"
"05","22","2020","Ocean City","Cape May","36"
"05","22","2020","Sea Isle City","Cape May","2"
"05","22","2020","Stone Harbor","Cape May","1"
"05","22","2020","Upper Township","Cape May","60"
"05","22","2020","West Cape May","Cape May","3"
"05","22","2020","West Wildwood","Cape May","4"
"05","22","2020","Wildwood","Cape May","31"
"05","22","2020","Wildwood Crest","Cape May","13"
"05","22","2020","Woodbine","Cape May","52"
"05","22","2020","Bridgeton","Cumberland","499"
"05","22","2020","Commercial","Cumberland","20"
"05","22","2020","Deerfield","Cumberland","26"
"05","22","2020","Downe","Cumberland","4"
"05","22","2020","Fairfield","Cumberland","51"
"05","22","2020","Greenwich","Cumberland","3"
"05","22","2020","Hopewell","Cumberland","50"
"05","22","2020","Lawrence","Cumberland","44"
"05","22","2020","Maurice River","Cumberland","15"
"05","22","2020","Millville","Cumberland","308"
"05","22","2020","Shiloh","Cumberland","0"
"05","22","2020","Stow Creek","Cumberland","5"
"05","22","2020","Unknown","Cumberland","1"
"05","22","2020","Upper Deerfield","Cumberland","60"
"05","22","2020","Vineland","Cumberland","655"
"05","22","2020","Belleville","Essex","949"
"05","22","2020","Bloomfield","Essex","1035"
"05","22","2020","Caldwell","Essex","97"
"05","22","2020","Cedar Grove","Essex","389"
"05","22","2020","East Orange","Essex","1800"
"05","22","2020","Essex Fells","Essex","20"
"05","22","2020","Fairfield","Essex","127"
"05","22","2020","Glen Ridge","Essex","36"
"05","22","2020","Gloucester","Essex","56"
"05","22","2020","Irvington","Essex","1279"
"05","22","2020","Livingston","Essex","467"
"05","22","2020","Maplewood","Essex","278"
"05","22","2020","Millburn","Essex","138"
"05","22","2020","Montclair","Essex","393"
"05","22","2020","Newark","Essex","6930"
"05","22","2020","North Caldwell","Essex","40"
"05","22","2020","Nutley","Essex","458"
"05","22","2020","Orange","Essex","894"
"05","22","2020","Roseland","Essex","84"
"05","22","2020","South Orange","Essex","92"
"05","22","2020","Verona","Essex","116"
"05","22","2020","West Caldwell","Essex","200"
"05","22","2020","West Orange","Essex","1158"
"05","22","2020","Deptford","Gloucester","463"
"05","22","2020","East Greenwich","Gloucester","47"
"05","22","2020","Elk","Gloucester","29"
"05","22","2020","Franklin","Gloucester","72"
"05","22","2020","Glassboro","Gloucester","106"
"05","22","2020","Greenwich","Gloucester","21"
"05","22","2020","Harrison","Gloucester","49"
"05","22","2020","Logan","Gloucester","31"
"05","22","2020","Mantua","Gloucester","74"
"05","22","2020","Monroe","Gloucester","226"
"05","22","2020","National Park","Gloucester","15"
"05","22","2020","Newfield","Gloucester","5"
"05","22","2020","Paulsboro","Gloucester","47"
"05","22","2020","Pitman","Gloucester","35"
"05","22","2020","South Harrison","Gloucester","78"
"05","22","2020","Swedesboro","Gloucester","33"
"05","22","2020","Washington Township","Gloucester","281"
"05","22","2020","Wenonah","Gloucester","12"
"05","22","2020","West Deptford","Gloucester","122"
"05","22","2020","Westville","Gloucester","33"
"05","22","2020","Woodbury","Gloucester","78"
"05","22","2020","Woodbury Heights","Gloucester","15"
"05","22","2020","Woolwich","Gloucester","77"
"05","22","2020","Bayonne","Hudson","1013"
"05","22","2020","East Newark","Hudson","72"
"05","22","2020","Guttenberg","Hudson","201"
"05","22","2020","Harrison","Hudson","378"
"05","22","2020","Hoboken","Hudson","561"
"05","22","2020","Jersey City","Hudson","6777"
"05","22","2020","Kearny","Hudson","1170"
"05","22","2020","North Bergen","Hudson","2474"
"05","22","2020","Secaucus","Hudson","531"
"05","22","2020","Union City","Hudson","3249"
"05","22","2020","Weehawken","Hudson","316"
"05","22","2020","West New York","Hudson","2004"
"05","22","2020","Alexandria","Hunterdon","10"
"05","22","2020","Bethlehem","Hunterdon","18"
"05","22","2020","Bloomsbury","Hunterdon","5"
"05","22","2020","Califon","Hunterdon","4"
"05","22","2020","Clinton Town","Hunterdon","25"
"05","22","2020","Clinton Township","Hunterdon","164"
"05","22","2020","Delaware","Hunterdon","17"
"05","22","2020","East Amwell","Hunterdon","15"
"05","22","2020","Flemington","Hunterdon","62"
"05","22","2020","Franklin","Hunterdon","14"
"05","22","2020","Frenchtown","Hunterdon","6"
"05","22","2020","Glen Gardner","Hunterdon","5"
"05","22","2020","Hampton","Hunterdon","8"
"05","22","2020","High Bridge","Hunterdon","19"
"05","22","2020","Holland","Hunterdon","21"
