LOCATION,TOTAL CASES,DEATHS,POPULATION
Avalon,7,0,"1,247"
Cape May City,6,0,"3,448"
Cape May Point,0,0,276
Dennis Township,51,4,"6,182"
Lower Township,181,29,"21,490"
Middle Township,95,2,"18,302"
North Wildwood,12,0,"3,792"
Ocean City,36,0,"11,041"
Sea Isle City,2,0,"2,044"
Stone Harbor,1,0,811
Upper Township,60,2,"11,857"
West Cape May,3,0,"1,004"
West Wildwood,4,0,558
Wildwood,31,0,"4,998"
Wildwood Crest,13,0,"3,074"
Woodbine,52,8,"2,436"
TOTAL,554,45,"92,560"
