LOCATION,TOTAL CASES,DEATHS,POPULATION
Bayonne,"1,013",66,"65,083"
East Newark,72,7,"2,647"
Guttenberg,201,24,"11,326"
Harrison,378,19,"17,836"
Hoboken,561,29,"53,455"
Jersey City,"6,777",396,"265,549"
Kearny,"1,170",70,"41,422"
North Bergen,"2,474",162,"61,627"
Secaucus,531,25,"20,742"
Union City,"3,249",144,"68,520"
Weehawken,316,20,"14,864"
West New York,"2,004",97,"52,990"
TOTAL,"18,746","1,059","676,061"
