LOCATION,TOTAL CASES,DEATHS,POPULATION
Vineland,655,13,"59,966"
Bridgeton,499,13,"24,442"
Millville ,308,25,"27,633"
Deerfield Twp.,26,0,"3,039"
Commercial Twp.,20,2,"4,967"
Fairfield Twp.,51,0,"5,902"
Hopewell Twp.,50,1,"4,371"
Lawrence Twp.,44,0,"3,099"
Maurice River,15,1,"6,030"
Upper Deerfield,60,4,"7,380"
Downe Twp.,4,0,"1,501"
Greenwich Twp.,3,0,765
Shiloh,0,0,492
Stow Creek,5,0,"1,385"
Unknown,1,0,NA
TOTAL,"1,741",59,"150,972"
